,X,Y,DC,# of Radars,Longitude,Latitude
568,162,170,216.0,5.0,111.5,34.0
569,621,442,216.0,5.0,103.0,38.0
570,432,136,216.0,5.0,106.5,33.5
571,378,510,216.0,5.0,107.5,39.0
572,81,544,215.0,5.0,113.0,39.5
573,162,170,215.0,5.0,111.5,34.0
574,621,442,215.0,5.0,103.0,38.0
575,432,136,215.0,5.0,106.5,33.5
576,378,510,215.0,5.0,107.5,39.0
577,81,544,214.0,5.0,113.0,39.5
578,162,170,214.0,5.0,111.5,34.0
579,621,442,214.0,5.0,103.0,38.0
580,459,136,214.0,5.0,106.0,33.5
581,378,510,214.0,5.0,107.5,39.0
582,81,544,213.0,5.0,113.0,39.5
583,162,170,213.0,5.0,111.5,34.0
584,621,442,213.0,5.0,103.0,38.0
585,459,136,213.0,5.0,106.0,33.5
586,378,510,213.0,5.0,107.5,39.0
587,81,544,212.0,5.0,113.0,39.5
588,162,170,212.0,5.0,111.5,34.0
589,621,442,212.0,5.0,103.0,38.0
590,459,136,212.0,5.0,106.0,33.5
591,378,510,212.0,5.0,107.5,39.0
592,189,612,211.0,6.0,111.0,40.5
593,540,510,211.0,6.0,104.5,39.0
594,162,340,211.0,6.0,111.5,36.5
595,486,510,211.0,6.0,105.5,39.0
596,513,170,211.0,6.0,105.0,34.0
597,189,102,211.0,6.0,111.0,33.0
598,189,612,210.0,6.0,111.0,40.5
599,540,510,210.0,6.0,104.5,39.0
600,162,340,210.0,6.0,111.5,36.5
601,486,510,210.0,6.0,105.5,39.0
602,513,170,210.0,6.0,105.0,34.0
603,189,102,210.0,6.0,111.0,33.0
604,189,612,209.0,6.0,111.0,40.5
605,540,510,209.0,6.0,104.5,39.0
606,162,340,209.0,6.0,111.5,36.5
607,486,510,209.0,6.0,105.5,39.0
608,513,170,209.0,6.0,105.0,34.0
609,189,102,209.0,6.0,111.0,33.0
610,189,612,208.0,6.0,111.0,40.5
611,540,510,208.0,6.0,104.5,39.0
612,162,340,208.0,6.0,111.5,36.5
613,486,510,208.0,6.0,105.5,39.0
614,513,170,208.0,6.0,105.0,34.0
615,189,102,208.0,6.0,111.0,33.0
616,189,612,207.0,6.0,111.0,40.5
617,540,510,207.0,6.0,104.5,39.0
618,162,340,207.0,6.0,111.5,36.5
619,486,510,207.0,6.0,105.5,39.0
620,513,170,207.0,6.0,105.0,34.0
621,189,102,207.0,6.0,111.0,33.0
622,189,612,206.0,6.0,111.0,40.5
623,540,510,206.0,6.0,104.5,39.0
624,162,340,206.0,6.0,111.5,36.5
625,486,510,206.0,6.0,105.5,39.0
626,513,170,206.0,6.0,105.0,34.0
627,189,102,206.0,6.0,111.0,33.0
628,189,612,205.0,6.0,111.0,40.5
